"subject","predicate","object"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/academicAdvisor","http://dbpedia.org/resource/Heinrich_Friedrich_Weber"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/academicDiscipline","http://dbpedia.org/resource/Physics"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/award","http://dbpedia.org/resource/Barnard_Medal_for_Meritorious_Service_to_Science"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/award","http://dbpedia.org/resource/Copley_Medal"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/award","http://dbpedia.org/resource/ForMemRS"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/award","http://dbpedia.org/resource/Gold_Medal_of_the_Royal_Astronomical_Society"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/award","http://dbpedia.org/resource/Matteucci_Medal"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/award","http://dbpedia.org/resource/Max_Planck_Medal"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/award","http://dbpedia.org/resource/Member_of_the_National_Academy_of_Sciences"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/award","http://dbpedia.org/resource/Nobel_Prize_in_Physics"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/award","http://dbpedia.org/resource/Time_100:_The_Most_Important_People_of_the_Century"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/birthDate","1879-03-14"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/German_Empire"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Kingdom_of_Württemberg"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Ulm"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/child","http://dbpedia.org/resource/Einstein_family"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/child","http://dbpedia.org/resource/Hans_Albert_Einstein"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/child","http://dbpedia.org/resource/Lieserl_Einstein"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/citizenship","http://dbpedia.org/resource/Austro-Hungarian_Empire"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/citizenship","http://dbpedia.org/resource/Cisleithania"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/citizenship","http://dbpedia.org/resource/Free_State_of_Prussia"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/citizenship","http://dbpedia.org/resource/Kingdom_of_Prussia"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/citizenship","http://dbpedia.org/resource/Kingdom_of_Württemberg"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/citizenship","http://dbpedia.org/resource/Statelessness"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/citizenship","http://dbpedia.org/resource/Switzerland"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/deathDate","1955-04-18"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/deathPlace","http://dbpedia.org/resource/Princeton,_New_Jersey"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/doctoralAdvisor","http://dbpedia.org/resource/Alfred_Kleiner"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/influenced","http://dbpedia.org/resource/Modern_physics"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Hendrik_Lorentz"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Hermann_Minkowski"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/Brandeis_University"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/California_Institute_of_Technology"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/ETH_Zurich"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/German_Physical_Society"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/Humboldt_University_of_Berlin"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/Institute_for_Advanced_Study"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/Kaiser_Wilhelm_Institute"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/Karl-Ferdinands-Universität"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/Leiden_University"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/Princeton_University"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/Prussian_Academy_of_Sciences"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/Swiss_Patent_Office"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/University_of_Bern"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/University_of_Oxford"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/institution","http://dbpedia.org/resource/University_of_Zurich"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/Bose–Einstein_condensate"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/Bose–Einstein_statistics"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/Brownian_motion"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/Cosmological_constant"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/EPR_paradox"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/Einstein_field_equations"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/Ensemble_interpretation"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/General_relativity"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/Gravitational_wave"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/List_of_things_named_after_Albert_Einstein"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/Mass–energy_equivalence"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/Photoelectric_effect"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/Planck–Einstein_relation"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/Special_relativity"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/knownFor","http://dbpedia.org/resource/Unified_field_theory"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/spouse","http://dbpedia.org/resource/Elsa_Löwenthal"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/ontology/spouse","http://dbpedia.org/resource/Mileva_Marić"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/academicAdvisors","http://dbpedia.org/resource/Heinrich_Friedrich_Weber"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/awards",""
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/awards","Barnard Medal"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/awards","Copley Medal"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/awards","ForMemRS"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/awards","Gold Medal of the Royal Astronomical Society"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/awards","Matteucci Medal"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/awards","Max Planck Medal"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/awards","Member of the National Academy of Sciences"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/awards","Nobel Prize in Physics"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/awards","Time Person of the Century"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/b","Introduction to Astrophysics/Albert Einstein"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/birthDate","1879-03-14"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/birthPlace","Ulm, Kingdom of Württemberg, German Empire"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/caption","Einstein in 1921, by Ferdinand Schmutzer"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/children","http://dbpedia.org/resource/Einstein_family"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/children","http://dbpedia.org/resource/Hans_Albert_Einstein"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/children","http://dbpedia.org/resource/Lieserl_Einstein"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/children",""
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/citizenship",""
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/citizenship","Austria, part of the Austro-Hungarian Empire"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/citizenship","Free State of Prussia"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/citizenship","Kingdom of Prussia, part of the German Empire"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/citizenship","Kingdom of Württemberg, part of the German Empire"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/citizenship","Stateless"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/citizenship","Switzerland"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/citizenship","United States"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/date","2011-08-11"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/date","November 2022"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/deathDate","1955-04-18"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/deathPlace","Princeton, New Jersey, U.S."
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/doctoralAdvisor","http://dbpedia.org/resource/Alfred_Kleiner"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/education",""
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/education","Federal polytechnic school in Zurich"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/education","University of Zurich"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/fields","Physics, philosophy"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/group","note"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/id","Albert_Einstein"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/influenced",""
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/influenced","Virtually all modern physicists"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/influences",""
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/influences","Hendrik Lorentz"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/influences","Hermann Minkowski"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor",""
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","Bose–Einstein condensate"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","Bose–Einstein statistics"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","Cosmological constant"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","E=hf (Planck–Einstein relation)"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","E=mc2 (Mass–energy equivalence)"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","EPR paradox"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","Einstein field equations"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","Ensemble interpretation"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","General relativity"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","Gravitational wave"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","List of other concepts"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","Photoelectric effect"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","Special relativity"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","Theory of Brownian motion"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/knownFor","Unified field theory"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/n","Einstein's equation turns 100"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/name","Albert Einstein"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/reason","The sources do not definitively say that Margarita Konenkova is actually a Russian spy, only vaguely corroborated by the NYT quote ""According to a book by a former Soviet spy master..."""
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/refs","Drawing"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/s","Author:Albert Einstein"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/signature","Albert Einstein signature 1934.svg"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/spouse","http://dbpedia.org/resource/Elsa_Löwenthal"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/spouse","http://dbpedia.org/resource/Mileva_Marić"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/spouse",""
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/spouse","1903"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/spouse","1919"
"http://dbpedia.org/resource/Albert_Einstein","http://dbpedia.org/property/spouse","1936"
